from_addr,payments,recipients,usdc
0x8c6e26476b77193c9353a633febb80f0441c1b03,586,2,2.940200
0x27abcddd44c4959ac729d080703e677f13a3248c,584,116,25.155900
0x36a481dfd7f235f47aacdc8f6dbbcb697a6be56b,584,1,8.495200
0xe58b043fbd701b5808cffbfe7e455a7f466d2ef8,580,1,65.342804
0x801108ca1b7caf261d2e4a11e7701af7cd377e8a,575,5,0.575000
0x8a69a52b3444ca81b18d06d4158feac79e16f390,564,2,35.028400
0x5e06059a764b7343b828a3b3d0cc45b0bc0afb09,557,4,54.363400
0xc02a5da792bc24f504cee9a8e51a2ad61ba9b929,556,1,7.516200
0x0b2a6ca148a2306f56481a1ff90a84445759427b,550,1,3.850000
0x1ff3c3997916aacc80d376250b6b9b3d46538d58,538,1,13.959895
0xc939fc4369325f3160b124c407bb677da0d38af9,538,1,0.007534
0x274a61adda215d6e40aecf7f8f125a19ed2a3713,532,1,49.930000
0x7acd5b6bfb150d69ea33af78581aa7b95fabcf53,528,2,36.810000
0x680b4cecf8e3c588590684a81c9c423ef36e4ff8,524,1,5.129000
0x4ffd4390c3fb556d08f5a69c25075fc6eccc0327,515,1,7.070000
0x8920c61b1fe0b713f271e86854b0008c19113a7e,509,8,4.806000
0x9c41ad54af3263ee73d58a616c5c2ee057a3e45c,506,1,18.420000
0x0c57c346d50f73ce87d1e002dff498358e9df4e8,499,1,3.187000
0x54c9df94be00e49fd5c5323f64507d183a6b0b90,488,1,1.365358
0x29804e80ae3e01fa28dfe2afa45f7c4c34196883,487,82,2.661800
0x72f6d77a78dbec1b2fff6f6db4672ddde1bd04c4,481,210,8.257078
0xe62923133a417cee4241677865ed5a63f44f4b54,469,14,5.303000
0x37067a223993884429c6e46413eacc8ac5763a9c,468,7,10.837000
0x0bbd2fec713482d888b6d7d7ea7ec8c632297aa8,465,6,19.897687
0xe02bfea02c190661628c121ba0cff3d911d9727b,461,41,42.889325
0xfb457ef697f21bf374abf72cae52f75ab7702064,455,1,9.110000
0xdeafcd44c2509ac1ac6ea431a8b8701b337cb943,455,5,49.583000
0xf615bda54d576e757b51a6128ac8a7c67a1c3d6c,444,1,25.384000
0x1b7fb3e7ceaaa996fff979a014e55220d6c3b0ac,443,1,6.930000
0x886f0626bb49b2393767e07097fbddf1042b6c7c,442,3,9.028000
0x4824dd3974a423c2f254338e85f9e744f3b04654,440,1,7.415000
0xe7bbb12b2939b79dc2e73d6d168b5e7d23b1e1ab,439,1,1.747200
0xbbc9e5b8a35d14207340bcfc9a04bfd534e3aab5,429,1,9.490000
0x6ee6e650cd93385df57c231baae2bd92065b473f,425,6,5.937600
0xfe2d5e9c5ae6e48b7f8b0b82ac4de8b423ba0557,423,322,2.891950
0x9aebd2c87cb1c924fb0d99a17bdc6c8411c25bee,413,4,33.192600
0x04f9a27a963b9f7ebfb004487593aa8c7e19a77f,410,6,3.324500
0xeef8cb4113146e8439665c8bba83afa289a9fa87,398,6,6.807000
0x9ac60659ea5fb87aa38a6d615b220c426e0cdf2f,393,1,0.393000
0xe520049c3d13e85195229a0ce471aea50d4ae26b,381,1,15.597301
0xc7ada9c532c4cd85cb3a1f3c660d9cd474578d62,381,2,14.432000
0x9160b352c130038fd69d88f9fc9f979a75dfeb17,378,3,7.248400
0x6c1a2e59b7bfd53a591eacee652db8e8d908c61a,365,6,22.700200
0xe6478abef02b88890f671e5dec53899ee86cadb9,360,1,63.430000
0x5748c4d7348b719e63ae3a5a1e6caed595c50c1c,359,1,17.870000
0x0bb27b620e2ceb7fc5b6cc504bb80441d5c6003d,356,2,4.510000
0x0ab1c750755fabadc8c1ac9ee21bc8aad7883adc,355,1,3.550000
0xe7c7e13cb107e4d3f8e18893bd2f402fb3d5edc1,353,2,2.450000
0x8f17cc75bc9420f5554e6ad36ff15a4ed3c11616,347,5,6.289600
0x9ed1fdd10e2864d0ae7e8c6466e99c46f9f0c764,344,22,3.518000
0x97b7f63cb9f40a147775aa425589a334f7091e37,336,1,0.736279
0x1ec34cbcd685587f8015dcbf6c1b8665cc93d567,333,3,16.739500
0x6777e11fb0a7917b8110b7dab9188aa3f6d23986,328,87,8.124200
0x149a3182f0bd100ada2eb0722f030841bdff98a2,326,1,2.423000
0x012df43cb91e8aee9cb4dac20959f1b72311a89e,326,1,1.091239
0x2b84e0f341b7f4326e9aa9d111a32babc5e9b2b6,321,1,2.203000
0x6bae57ad66659cdf660e0874d948226696299c71,320,1,8.979000
0x24c97bdb1b8640d6b75d011982e2e6087fbb736f,318,1,2.112000
0x5da4d4c7263e89b770f2155e0541894483d35a5c,315,1,2.237000
0xb646a104cc03404a2883eb160ead5d471cf56e56,314,6,24.722648
